pid	vid
100000	941576
100001	339136
100002	461791
100003	599901
100004	476306
100005	590696
100006	941581
100007	375626
100008	347996
100009	338856
10001	694831
100010	345686
100011	370601
100012	470481
100013	941586
100014	652501
100015	377041
100016	534586
100017	648816
100018	941591
100019	446841
100020	941596
100021	941601
100022	941606
100023	941611
100024	941616
100025	460451
100026	346961
100027	332986
100028	433361
100029	941621
100030	563711
100031	663076
100032	941626
100033	941631
100034	382481
100035	532481
100036	584221
100037	666551
100038	573036
100039	941636
100040	671276
100041	396271
100042	941641
100043	671876
100044	547981
100045	605731
100046	481281
100047	347421
100048	480236
100049	318566
100050	482701
100051	329416
100052	671711
100053	346451
100054	501556
100055	672026
100056	468736
100057	408681
100058	941646
100059	349381
10006	577476
100060	941651
100061	671611
100062	941656
100063	407936
100064	492156
100065	582491
100066	621986
100067	941661
100068	340886
100069	941666
100070	666591
100071	307246
100072	941671
100073	666561
100074	941676
100075	941681
100076	672001
100077	941686
100078	941691
100079	663336
100080	941696
100081	941701
100082	665196
100083	941706
100084	941711
100085	391676
100086	941716
100087	941721
100088	671756
100089	941726
100090	578596
100091	671931
100092	941731
100093	941736
100094	321531
100095	634716
100096	557106
100097	457486
100098	649281
100099	334061
1001	351761
100100	941741
100101	941746
100102	408751
100103	663381
100104	941751
100105	941756
100106	671621
100107	941761
100108	941766
100109	941771
10011	1332726
100110	941776
100111	941781
100112	941786
100113	941791
100114	941796
100115	941801
100116	941806
100117	337091
100118	941811
100119	941816
100120	449346
100121	941821
100122	941826
100123	530356
100124	941831
100125	941836
100126	609191
100127	666131
100128	941841
100129	316026
100130	348556
100131	941846
100132	306906
100133	666586
100134	941851
100135	941856
100136	941861
100137	941866
100138	941871
100139	671541
100140	941876
100141	942276
100142	671591
100143	514326
100144	942281
100145	671361
100146	942286
100147	942291
100148	671661
100149	942296
100150	481091
100151	318446
100152	489361
100153	942301
100154	648656
100155	654566
100156	942306
100157	942311
100158	942316
100159	531416
10016	610991
100160	666681
100161	942321
100162	942326
100163	671831
100164	490171
100165	942331
100166	353851
100167	484891
100168	942336
100169	404361
100170	420086
100171	942341
100172	399966
100173	644276
100174	352936
100175	353866
100176	557776
100177	942346
100178	387306
100179	588481
100180	525876
100181	606941
100182	621251
100183	465796
100184	585491
100185	382651
100186	942351
100187	593421
100188	644346
100189	942356
100190	422371
100191	644481
100192	942361
100193	413546
100194	548746
100195	942366
100196	942371
100197	942376
100198	340386
100199	942381
100200	942386
100201	554646
100202	942391
100203	565736
100204	643966
100205	942396
100206	942401
100207	508181
100208	942406
100209	942411
100210	643956
100211	671871
100212	942416
100213	469656
100214	671601
100215	942421
100216	942426
100217	942431
100218	327226
100219	942436
100220	942441
100221	562171
100222	942446
100223	942451
100224	942456
100225	643871
100226	942461
100227	942466
100228	644441
100229	942471
100230	942476
100231	942481
100232	942486
100233	942491
100234	649086
100235	461796
100236	942496
100237	394836
100238	660596
100239	412881
100240	354971
100241	483871
100242	644366
100243	507816
100244	942501
100245	644601
100246	597731
100247	671886
100248	507201
100249	494896
100250	663066
100251	643886
100252	520336
100253	942506
100254	438751
100255	484801
100256	455481
100257	336231
100258	493811
100259	942511
10026	596501
100260	643981
100261	337406
100262	942516
100263	644486
100264	942521
100265	608321
100266	397671
100267	673136
100268	942526
100269	647841
100270	942531
100271	942536
100272	648191
100273	663016
100274	942541
100275	942546
100276	942551
100277	942556
100278	942561
100279	942566
100280	942571
100281	671291
100282	942576
100283	942581
100284	942586
100285	505701
100286	942591
100287	942596
100288	640666
100289	942601
100290	640761
100291	528806
100292	654896
100293	549446
100294	469801
100295	362406
100296	942606
100297	942611
100298	597566
100299	942616
100300	942621
100301	942626
100302	942631
100303	942636
100304	942641
100305	648211
100306	458141
100307	942646
100308	534801
100309	942651
10031	540391
100310	465376
100311	572946
100312	372666
100313	942656
100314	390626
100315	942661
100316	943061
100317	943066
100318	943071
100319	943076
100320	943081
100321	943086
100322	943091
100323	943096
100324	943101
100325	943106
100326	943111
100327	943116
100328	943121
100329	943126
100330	943131
100331	943136
100332	943141
100333	620016
100334	943146
100335	668051
100336	943151
100337	943156
100338	943161
100339	943166
100340	943171
100341	357611
100342	943176
100343	943181
100344	943186
100345	943191
100346	943196
100347	943201
100348	557236
100349	943206
100350	943211
100351	649256
100352	639541
100353	647331
100354	943216
100355	632546
100356	943221
100357	595151
100358	578321
100359	943226
10036	463946
100360	484186
100361	943231
100362	639666
100363	943236
100364	499011
100365	590141
100366	485701
100367	451151
100368	463066
100369	943241
100370	438031
100371	416156
100372	466361
100373	647251
100374	327076
100375	943246
100376	422966
100377	415831
100378	387736
100379	572916
100380	318251
100381	943251
100382	673656
100383	475906
100384	566921
100385	943256
100386	402421
100387	943261
100388	402191
100389	510456
100390	673231
100391	462656
100392	502381
100393	465986
100394	341956
100395	472246
100396	458041
100397	501441
100398	555426
100399	444131
100400	324251
100401	943266
100402	482561
100403	493161
100404	500376
100405	531496
100406	397351
100407	943271
100408	312986
100409	683251
10041	694836
100410	434566
100411	598426
100412	943276
100413	683711
100414	505366
100415	943281
100416	556181
100417	433591
100418	417051
100419	943286
100420	575071
100421	943291
100422	544756
100423	318741
100424	412256
100425	943296
100426	661066
100427	943301
100428	443031
100429	593061
100430	370001
100431	478266
100432	594841
100433	545786
100434	540331
100435	476531
100436	504976
100437	943306
100438	451946
100439	519841
100440	943311
100441	464621
100442	392116
100443	323336
100444	371206
100445	489936
100446	566151
100447	352926
100448	599841
100449	596946
100450	353941
100451	548026
100452	943316
100453	671066
100454	398506
100455	553706
100456	368346
100457	670771
100458	567011
100459	513906
10046	308836
100460	550836
100461	670951
100462	662246
100463	412641
100464	943321
100465	409451
100466	423776
100467	607246
100468	433956
100469	338916
100470	411426
100471	670701
100472	543261
100473	943326
100474	461996
100475	670851
100476	474456
100477	464851
100478	943331
100479	943336
100480	460361
100481	943341
100482	384106
